26421739	<Author><Name>Cámara B</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Suzuki S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Nealson KH</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Wierzchos J</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Ascaso C</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Artieda O</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>de Los Ríos A</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Ignimbrite textural properties as determinants of endolithic colonization patterns from hyper-arid Atacama Desert.	Int Microbiol	2014 Sep
26301574	<Author><Name>Holzmeyer L</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Duretto M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Crayn D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Hörandl E</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Heslewood M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Jayanthan J</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Appelhans MS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Phylogeny of Acronychia (Rutaceae) and First Insights into Its Historical Biogeography and the Evolution of Fruit Characters.	PLoS One	2015
26297777	<Author><Name>Muggia L</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Kocourkova J</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Knudsen K</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Disentangling the complex of Lichenothelia species from rock communities in the desert.	Mycologia2015 Aug 21
26294639	<Author><Name>Vilo C</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Galetovic A</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Araya JE</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Gómez-Silva B</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Dong Q</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Draft Genome Sequence of a Bacillus Bacterium from the Atacama Desert Wetlands Metagenome.	Genome Announc	2015 Aug 20
26265393	<Author><Name>Torres-Rouff C</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Knudson KJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Pestle WJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Stovel EM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Tiwanaku influence and social inequality: A bioarchaeological, biogeochemical, and contextual analysis of the Larache cemetery, San Pedro de Atacama, Northern Chile.	Am J Phys Anthropol	2015 Aug 12
26253130	<Author><Name>Oliveira RE</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Neves WA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Oral health in prehistoric San Pedro de Atacama oases, Northern Chile.	Homo	2015 Jul 16
26249053	<Author><Name>D Ambrosio DS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Díaz AR</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	First description of the soft part anatomy of Ilyocypris ramirezi Cusminsky & Whatley (Crustacea, Ostracoda) from Argentina, South America.	Zootaxa	2015 May 13
26248303	<Author><Name>van Laarhoven KA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Huinink HP</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Segers FJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Dijksterhuis J</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Adan OC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Separate effects of moisture content and water activity on the hyphal extension of Penicillium rubens on porous media.	Environ Microbiol	2015 Aug 6
26235221	<Author><Name>Gonçalves VN</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Cantrell CL</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Wedge DE</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Ferreira MC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Soares MA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Jacob MR</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Oliveira FS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Galante D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rodrigues F</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Alves TM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Zani CL</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Junior PA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Murta S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Romanha AJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Barbosa EC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Kroon EG</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Oliveira JG</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Gomez-Silva B</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Galetovic A</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rosa CA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rosa LH</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Fungi associated with rocks of the Atacama Desert: taxonomy, distribution, diversity, ecology and bioprospection for bioactive compounds.	Environ Microbiol	2015 Jul 31
26227547	<Author><Name>Cox CL</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Cox RM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Evolutionary shifts in habitat aridity predict evaporative water loss across squamate reptiles.	Evolution	2015 Sep
26224164	<Author><Name>Rasuk MC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Fernández AB</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Kurth D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Contreras M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Novoa F</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Poiré D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Farías ME</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Bacterial Diversity in Microbial Mats and Sediments from the Atacama Desert.	Microb Ecol	2015 Jul 30
26221957	<Author><Name>Shao MW</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Lu YH</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Miao S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Zhang Y</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Chen TT</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Zhang YL</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Diversity, Bacterial Symbionts and Antibacterial Potential of Gut-Associated Fungi Isolated from the Pantala flavescens Larvae in China.	PLoS One	2015
26221088	<Author><Name>Bezerra JD</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Nascimento CC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Barbosa Rdo N</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>da Silva DC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Svedese VM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Silva-Nogueira EB</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Gomes BS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Paiva LM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Souza-Motta CM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Endophytic fungi from medicinal plant Bauhinia forficata : Diversity and biotechnological potential.	Braz J Microbiol2015 Mar
26195732	<Author><Name>Goldstein PS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Multiethnicity, pluralism, and migration in the south central Andes: An alternate path to state expansion.	Proc Natl Acad Sci U S A	2015 Jul 28
26195343	<Author><Name>Frossard A</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Ramond JB</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Seely M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Cowan DA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Water regime history drives responses of soil Namib Desert microbial communities to wetting events.	Sci Rep	2015 Jul 21
26174009	<Author><Name>de Azevedo S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Bortolini MC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Bonatto SL</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Hünemeier T</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Santos FR</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>González-José R</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Ancient remains and the first peopling of the Americas: Reassessing the Hoyo Negro skull.	Am J Phys Anthropol	2015 Jul 14
26173647	<Author><Name>Somerville AD</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Goldstein PS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Baitzel SI</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Bruwelheide KL</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Dahlstedt AC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Yzurdiaga L</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Raubenheimer S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Knudson KJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Schoeninger MJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Diet and gender in the Tiwanaku colonies: Stable isotope analysis of human bone collagen and apatite from Moquegua, Peru.	Am J Phys Anthropol	2015 Jul 14
26173443	<Author><Name>Thompson AR</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Hedman KM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Slater PA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	New dental and isotope evidence of biological distance and place of origin for mass burial groups at Cahokia's mound 72.	Am J Phys Anthropol	2015 Jul 14
26164107	<Author><Name>Reyes-Centeno H</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Hubbe M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Hanihara T</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Stringer C</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Harvati K</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Testing modern human out-of-Africa dispersal models and implications for modern human origins.	J Hum Evol	2015 Jul 8
26162441	<Author><Name>Faure D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Bonin P</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Duran R</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Environmental microbiology reveals the Earth secret life.	Environ Sci Pollut Res Int	2015 Sep
26158723	<Author><Name>Levin LA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Mendoza GF</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Grupe BM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Gonzalez JP</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Jellison B</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rouse G</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Thurber AR</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Waren A</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Biodiversity on the Rocks: Macrofauna Inhabiting Authigenic Carbonate at Costa Rica Methane Seeps.	PLoS One	2015
26153724	<Author><Name>Hoshino Y</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>George SC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Cyanobacterial Inhabitation on Archean Rock Surfaces in the Pilbara Craton, Western Australia.	Astrobiology	2015 Jul
26147800	<Author><Name>Pulschen AA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rodrigues F</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Duarte RT</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Araujo GG</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Santiago IF</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Paulino-Lima IG</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rosa CA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Kato MJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Pellizari VH</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Galante D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	UV-resistant yeasts isolated from a high-altitude volcanic area on the Atacama Desert as eukaryotic models for astrobiology.	Microbiologyopen	2015 Aug
26143714	<Author><Name>Matthew Ogburn R</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Edwards EJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Life history lability underlies rapid climate niche evolution in the angiosperm clade Montiaceae.	Mol Phylogenet Evol	2015 Nov
26135135	<Author><Name>Qiu ZJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Lu YX</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Li CQ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Dong Y</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Smith JF</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Wang YZ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Origin and evolution of Petrocosmea (Gesneriaceae) inferred from both DNA sequence and novel findings in morphology with a test of morphology-based hypotheses.	BMC Plant Biol	2015 Jul 3
26112916	<Author><Name>Piano E</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Bona F</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Falasco E</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>La Morgia V</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Badino G</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Isaia M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Environmental drivers of phototrophic biofilms in an Alpine show cave (SW-Italian Alps).	Sci Total Environ	2015 Dec 1
26087625	<Author><Name>Litvinov SS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Khusnutdinova EK</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	[Current State of Research in Ethnogenomics: Genome-Wide Analysis and Uniparental Markers].	Genetika	2015 Apr
26083419	<Author><Name>Marsolier-Kergoat MC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Palacio P</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Berthonaud V</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Maksud F</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Stafford T</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Bégouën R</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Elalouf JM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Hunting the Extinct Steppe Bison (Bison priscus) Mitochondrial Genome in the Trois-Frères Paleolithic Painted Cave.	PLoS One	2015
26079131	<Author><Name>Norup MF</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Petersen G</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Burrows S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Bouchenak-Khelladi Y</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Leebens-Mack J</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Pires JC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Linder HP</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Seberg O</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Evolution of Asparagus L. (Asparagaceae): Out-of-South-Africa and multiple origins of sexual dimorphism.	Mol Phylogenet Evol	2015 Nov
26067836	<Author><Name>Zhang T</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Yao YF</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Endophytic Fungal Communities Associated with Vascular Plants in the High Arctic Zone Are Highly Diverse and Host-Plant Specific.	PLoS One	2015
26061688	<Author><Name>Fehren-Schmitz L</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Llamas B</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Lindauer S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Tomasto-Cagigao E</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Kuzminsky S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rohland N</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Santos FR</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Kaulicke P</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Valverde G</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Richards SM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Nordenfelt S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Seidenberg V</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Mallick S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Cooper A</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Reich D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Haak W</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	A Re-Appraisal of the Early Andean Human Remains from Lauricocha in Peru.	PLoS One	2015
